atr,combo_total,rr,symbol,vol_mult
1.5,3.8328088329872116,3.5,NZDCAD,1.2
1.5,3.664904374978505,4.0,NZDCAD,0.8
1.5,3.615534042008221,4.0,NZDCAD,1.0
1.5,3.60096416703891,4.0,NZDCAD,1.2
2.0,3.676789207966067,2.0,NZDCAD,0.8
2.0,3.648612874909304,2.0,NZDCAD,1.0
2.0,3.5635182090336457,2.0,NZDCAD,1.2
2.0,3.7547517500352114,2.5,NZDCAD,0.8
2.0,3.7537234999472275,2.5,NZDCAD,1.0
2.0,3.5831364589976147,2.5,NZDCAD,1.2
2.0,3.714859209023416,3.0,NZDCAD,0.8
2.0,3.640516333980486,3.0,NZDCAD,1.0
2.0,3.5930348749971017,3.0,NZDCAD,1.2
2.0,3.7881934579927474,3.5,NZDCAD,0.8
2.0,3.5557396250078455,3.5,NZDCAD,1.0
2.0,3.7389920839341357,3.5,NZDCAD,1.2
2.0,4.0315192909911275,4.0,NZDCAD,0.8
2.0,3.6307181250303984,4.0,NZDCAD,1.0
2.0,3.599265958997421,4.0,NZDCAD,1.2
2.5,3.744108834071085,2.0,NZDCAD,0.8
2.5,3.5938484159996733,2.0,NZDCAD,1.0
2.5,3.6065025000134483,2.0,NZDCAD,1.2
2.5,3.6875383330043405,2.5,NZDCAD,0.8
2.5,3.714081709040329,2.5,NZDCAD,1.0
2.5,3.6856552499812096,2.5,NZDCAD,1.2
2.5,3.6429932499304414,3.0,NZDCAD,0.8
2.5,3.720758125069551,3.0,NZDCAD,1.0
2.5,3.584400208084844,3.0,NZDCAD,1.2
2.5,3.6277175419963896,3.5,NZDCAD,0.8
2.5,3.753745833062567,3.5,NZDCAD,1.0
2.5,3.631259541027248,3.5,NZDCAD,1.2
2.5,3.7840664169052616,4.0,NZDCAD,0.8
2.5,3.939359417068772,4.0,NZDCAD,1.0
2.5,3.625221624970436,4.0,NZDCAD,1.2
3.0,3.96773304103408,2.0,NZDCAD,0.8
3.0,3.612351250019856,2.0,NZDCAD,1.0
3.0,3.6349835420260206,2.0,NZDCAD,1.2
3.0,3.736042666947469,2.5,NZDCAD,0.8
3.0,3.616743625025265,2.5,NZDCAD,1.0
3.0,3.7212687080027536,2.5,NZDCAD,1.2
3.0,3.7905565419932827,3.0,NZDCAD,0.8
3.0,3.8063650829717517,3.0,NZDCAD,1.0
3.0,3.6087275829631835,3.0,NZDCAD,1.2
3.0,3.7585475420346484,3.5,NZDCAD,0.8
3.0,3.6610067499568686,3.5,NZDCAD,1.0
3.0,3.7635702920379117,3.5,NZDCAD,1.2
3.0,3.9246526670176536,4.0,NZDCAD,0.8
3.0,4.051706915954128,4.0,NZDCAD,1.0
3.0,3.8438214579364285,4.0,NZDCAD,1.2
